SolidsNames,SolidsNamesstr,x,y,alpha,theta1,phi1,theta2,phi2,N
1,Tetrahedron,0.1788244,-0.0976062,1.0372426,5.3278439,1.5713832,3.9444529,0.9501339,1.014473
2,Cube,0,0,2.4840821,1.9060829,3.1415929,5.8188256,2.3004443,1.060659
3,Octahedron,0,0,3.1415873,5.4977985,1.9105975,6.2808288,1.5701448,1.06064
4,Dodecahedron,0,0,1.0378047,0.8553414,2.108091,4.918788,2.0545287,1.010818
5,Icosahedron,0,0,2.7276836,2.7732324,2.6181502,2.3091726,2.2712915,1.010805
6,Truncated tetrahedron,0.160858,-0.164724,4.7775741,6.2831072,0.7854425,2.0992734,1.3849498,1.01421
7,Cuboctahedron,0,0,3.1386793,2.5259348,1.5710827,0.7902177,0.9351593,1.014571
8,Truncated cube,0,0,2.298646,4.3427928,3.1415862,2.089632,2.2876946,1.030659
9,Truncated octahedron,0,0,1.5690349,3.1415601,0.785367,5.3243536,2.0933886,1.014602
10,Rhombicuboctahedron,0,0,0.017061,2.9503929,3.1415921,4.1693802,0.636201,1.012819
11,Truncated cuboctahedron,0,0,0.2396229,3.1416249,0.785486,4.4525352,0.429099,1.006563
12,Snub cube,--,--,--,--,--,--,--,--
13,Icosidodecahedron,0,0,1.578603,2.7736451,0.7120286,4.7086522,2.1263666,1.000878
14,Truncated dodecahedron,0,0,2.2092757,4.3599229,1.5508055,1.6477247,1.0979977,1.001612
15,Truncated icosahedron,0,0,0.9547212,4.7124428,1.470154,0.8649729,2.0954566,1.001955
16,Rhombicosidodecahedron,--,--,--,--,--,--,--,--
17,Truncated icosidodecahedron,0,0,0.4358364,2.7768504,2.0941596,0.79061,2.8967442,1.002048
18,Snub dodecahedron,--,--,--,--,--,--,--,--
19,Triakis tetrahedron,--,--,--,--,--,--,--,--
20,Rhombic dodecahedron,0,0,0.2389694,3.926939,0.9553557,5.171164,1.3442843,1.027201
21,Triakis octahedron,0,0,0.3562255,5.7674031,2.2867379,0.0005374,1.5665899,1.030648
22,Tetrakis hexahedron,0,0,0.1945682,3.4241341,1.1711373,0.0040963,2.3603178,1.009632
23,Deltoidal icositetrahedron,0,0,0.6277374,0.6012867,1.4476059,6.1255227,3.1382821,1.007632
24,Disdyakis dodecahedron,0,0,0.1178211,6.1466092,2.5957828,1.5695218,0.7842378,1.0025
25,Pentagonal icositetrahedron,--,--,--,--,--,--,--,--
26,Rhombic triacontahedron,0,0,0.231712,2.84e-05,0.5535717,1.9227518,2.1379305,1.007037
27,Triakis icosahedron,0,0,2.5481489,3.3133906,0.4995076,2.3963212,2.1824603,1.001304
28,Pentakis dodecahedron,0,0,3.1547479,5.4202246,2.1024926,4.2553188,2.4568193,1.001845
29,Deltoidal hexecontahedron,--,--,--,--,--,--,--,--
30,Disdyakis triacontahedron,0,0,2.5886126,4.2871288,0.7860227,5.917639,2.107937,1.00021
31,Pentagonal hexecontahedron,--,--,--,--,--,--,--,--
